Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:02:57,2025-07-17 14:04:51,1m - 54.618s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:02:57,2025-07-17 14:03:57,1m - 0.185s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:02:57,2025-07-17 14:03:48,50.638s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:03:48,2025-07-17 14:03:52,3.753s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:03:52,2025-07-17 14:03:52,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:03:52,2025-07-17 14:03:53,1.746s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:03:53,2025-07-17 14:03:53,0.047s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:03:53,2025-07-17 14:03:53,0.031s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:03:53,2025-07-17 14:03:53,0.001s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:03:53,2025-07-17 14:03:53,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:03:53,2025-07-17 14:03:54,0.830s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:03:54,2025-07-17 14:03:54,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:03:54,2025-07-17 14:03:55,0.998s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:03:55,2025-07-17 14:03:55,0.055s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:03:55,2025-07-17 14:03:55,0.030s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:03:55,2025-07-17 14:03:55,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:03:55,2025-07-17 14:03:55,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:03:55,2025-07-17 14:03:56,0.874s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:03:56,2025-07-17 14:03:56,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:03:56,2025-07-17 14:03:56,0.107s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:03:56,2025-07-17 14:03:56,0.079s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:03:56,2025-07-17 14:03:57,0.144s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:03:57,0.106s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:03:57,0.070s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:03:57,0.175s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:03:57,0.106s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:03:57,0.025s,PASSED
,,,,,,,
Test Cases/Test Scenario_1/SAO_lulus_1,Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:04:51,54.124s,PASSED
"callTestCase(findTestCase(""Test Cases/Test Scenario_1/IO_menunggu pengesyoran_1""), null)",Chrome 138.0.0.0,,,2025-07-17 14:03:57,2025-07-17 14:04:43,45.247s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:04:43,2025-07-17 14:04:46,3.901s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:04:46,2025-07-17 14:04:46,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:04:46,2025-07-17 14:04:48,1.433s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:04:48,2025-07-17 14:04:48,0.049s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:04:48,2025-07-17 14:04:48,0.031s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:04:48,2025-07-17 14:04:48,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:04:48,2025-07-17 14:04:48,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:04:48,2025-07-17 14:04:49,0.745s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:49,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:49,0.736s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:49,0.045s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:49,0.032s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:49,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:49,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:04:49,2025-07-17 14:04:50,0.806s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:04:50,2025-07-17 14:04:50,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:04:50,2025-07-17 14:04:50,0.100s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:04:50,2025-07-17 14:04:50,0.094s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:04:50,2025-07-17 14:04:51,0.140s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:04:51,2025-07-17 14:04:51,0.110s,PASSED
