Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:18:42,2025-07-17 14:20:45,2m - 2.689s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:18:42,2025-07-17 14:19:47,1m - 4.609s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:18:43,2025-07-17 14:19:38,55.032s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:19:38,2025-07-17 14:19:42,3.940s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:19:42,2025-07-17 14:19:42,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:19:42,2025-07-17 14:19:43,1.657s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:19:43,2025-07-17 14:19:43,0.051s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:19:43,2025-07-17 14:19:43,0.030s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:19:43,2025-07-17 14:19:43,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:19:43,2025-07-17 14:19:43,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:19:43,2025-07-17 14:19:44,0.897s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:19:44,2025-07-17 14:19:44,0.000s,PASSED
