Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 15:08:04,2025-07-17 15:09:53,1m - 49.176s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 15:08:04,2025-07-17 15:09:01,57.058s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 15:08:04,2025-07-17 15:08:52,47.621s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 15:08:52,2025-07-17 15:08:56,4.108s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 15:08:56,2025-07-17 15:08:56,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 15:08:56,2025-07-17 15:08:57,1.642s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 15:08:57,2025-07-17 15:08:57,0.051s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 15:08:57,2025-07-17 15:08:58,0.032s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 15:08:58,2025-07-17 15:08:58,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 15:08:58,2025-07-17 15:08:58,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 15:08:58,2025-07-17 15:08:58,0.872s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 15:08:58,2025-07-17 15:08:58,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 15:08:58,2025-07-17 15:08:59,0.790s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 15:08:59,2025-07-17 15:08:59,0.037s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 15:08:59,2025-07-17 15:08:59,0.031s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 15:08:59,2025-07-17 15:08:59,0.000s,PASSED
