Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:10:29,2025-07-17 14:12:29,1m - 59.648s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:10:29,2025-07-17 14:11:32,1m - 2.690s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:10:30,2025-07-17 14:11:23,53.063s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:11:23,2025-07-17 14:11:27,4.239s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:11:27,2025-07-17 14:11:27,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:11:27,2025-07-17 14:11:28,1.339s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:11:28,2025-07-17 14:11:28,0.072s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:11:28,2025-07-17 14:11:28,0.032s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:11:28,2025-07-17 14:11:28,0.001s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:11:28,2025-07-17 14:11:28,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:11:28,2025-07-17 14:11:29,0.807s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:11:29,2025-07-17 14:11:29,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:11:29,2025-07-17 14:11:30,0.774s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:11:30,2025-07-17 14:11:30,0.043s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:11:30,2025-07-17 14:11:30,0.031s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:11:30,2025-07-17 14:11:30,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:11:30,2025-07-17 14:11:30,0.001s,PASSED
