Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:21:28,2025-07-17 14:23:34,2m - 6.615s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:21:28,2025-07-17 14:22:32,1m - 3.880s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:21:28,2025-07-17 14:22:21,53.154s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:22:21,2025-07-17 14:22:26,4.374s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:22:26,2025-07-17 14:22:26,0.001s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:22:26,2025-07-17 14:22:28,1.901s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:22:28,2025-07-17 14:22:28,0.061s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:22:28,2025-07-17 14:22:28,0.032s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:22:28,2025-07-17 14:22:28,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:22:28,2025-07-17 14:22:28,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:22:28,2025-07-17 14:22:29,0.839s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:22:29,2025-07-17 14:22:29,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:22:29,2025-07-17 14:22:30,1.214s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:22:30,2025-07-17 14:22:30,0.052s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:22:30,2025-07-17 14:22:30,0.031s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:22:30,2025-07-17 14:22:30,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:22:30,2025-07-17 14:22:30,0.001s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:22:30,2025-07-17 14:22:31,1.020s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:31,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:31,0.104s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:31,0.079s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:31,0.146s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:31,0.121s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:31,0.086s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 14:22:31,2025-07-17 14:22:32,0.190s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 14:22:32,2025-07-17 14:22:32,0.112s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 14:22:32,2025-07-17 14:22:32,0.016s,PASSED
,,,,,,,
Test Cases/Test Scenario_1/SAO_lulus_1,Chrome 138.0.0.0,,,2025-07-17 14:22:32,2025-07-17 14:23:34,1m - 2.481s,PASSED
