Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 13:54:33,2025-07-17 13:56:34,2m - 0.323s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 13:54:34,2025-07-17 13:55:35,1m - 1.432s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 13:54:34,2025-07-17 13:55:25,50.988s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 13:55:25,2025-07-17 13:55:29,4.006s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 13:55:29,2025-07-17 13:55:29,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 13:55:29,2025-07-17 13:55:31,2.089s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 13:55:31,2025-07-17 13:55:31,0.052s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 13:55:31,2025-07-17 13:55:31,0.029s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 13:55:31,2025-07-17 13:55:31,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 13:55:31,2025-07-17 13:55:31,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 13:55:31,2025-07-17 13:55:32,0.990s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 13:55:32,2025-07-17 13:55:32,0.001s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 13:55:32,2025-07-17 13:55:33,0.996s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 13:55:33,2025-07-17 13:55:33,0.043s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 13:55:33,2025-07-17 13:55:33,0.028s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 13:55:33,2025-07-17 13:55:33,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 13:55:33,2025-07-17 13:55:33,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 13:55:33,2025-07-17 13:55:34,1.006s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 13:55:34,2025-07-17 13:55:34,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 13:55:34,2025-07-17 13:55:34,0.125s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 13:55:34,2025-07-17 13:55:34,0.083s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 13:55:34,2025-07-17 13:55:34,0.121s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 13:55:34,2025-07-17 13:55:35,0.191s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 13:55:35,2025-07-17 13:55:35,0.074s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 13:55:35,2025-07-17 13:55:35,0.168s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 13:55:35,2025-07-17 13:55:35,0.106s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 13:55:35,2025-07-17 13:55:35,0.010s,PASSED
,,,,,,,
Test Cases/Test Scenario_1/SAO_lulus_1,Chrome 138.0.0.0,,,2025-07-17 13:55:35,2025-07-17 13:56:34,58.659s,PASSED
"callTestCase(findTestCase(""Test Cases/Test Scenario_1/IO_menunggu pengesyoran_1""), null)",Chrome 138.0.0.0,,,2025-07-17 13:55:35,2025-07-17 13:56:25,49.316s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 13:56:25,2025-07-17 13:56:29,3.995s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 13:56:29,2025-07-17 13:56:29,0.001s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 13:56:29,2025-07-17 13:56:30,1.618s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 13:56:30,2025-07-17 13:56:30,0.045s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 13:56:30,2025-07-17 13:56:30,0.031s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 13:56:30,2025-07-17 13:56:30,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 13:56:30,2025-07-17 13:56:30,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 13:56:30,2025-07-17 13:56:31,0.814s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 13:56:31,2025-07-17 13:56:31,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 13:56:31,2025-07-17 13:56:32,0.816s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 13:56:32,2025-07-17 13:56:32,0.043s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 13:56:32,2025-07-17 13:56:32,0.032s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 13:56:32,2025-07-17 13:56:32,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 13:56:32,2025-07-17 13:56:32,0.001s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 13:56:32,2025-07-17 13:56:33,0.933s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:33,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:33,0.100s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:33,0.080s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:33,0.124s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:33,0.110s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:33,0.070s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 13:56:33,2025-07-17 13:56:34,0.179s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 13:56:34,2025-07-17 13:56:34,0.098s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 13:56:34,2025-07-17 13:56:34,0.011s,PASSED
