Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:07:53,2025-07-17 14:09:46,1m - 52.663s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:07:53,2025-07-17 14:08:52,59.051s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:07:54,2025-07-17 14:08:44,50.334s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:08:44,2025-07-17 14:08:48,3.918s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:08:48,2025-07-17 14:08:48,0.002s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:08:48,2025-07-17 14:08:49,1.250s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:08:49,2025-07-17 14:08:49,0.051s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:08:49,2025-07-17 14:08:49,0.030s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:08:49,2025-07-17 14:08:49,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:08:49,2025-07-17 14:08:49,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:08:49,2025-07-17 14:08:50,0.774s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:08:50,2025-07-17 14:08:50,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:08:50,2025-07-17 14:08:51,0.699s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:08:51,2025-07-17 14:08:51,0.043s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:08:51,2025-07-17 14:08:51,0.032s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:08:51,2025-07-17 14:08:51,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:08:51,2025-07-17 14:08:51,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:08:51,2025-07-17 14:08:52,0.804s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.111s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.086s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.126s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.112s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.070s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.183s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.102s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:08:52,0.011s,PASSED
,,,,,,,
Test Cases/Test Scenario_1/SAO_lulus_1,Chrome 138.0.0.0,,,2025-07-17 14:08:52,2025-07-17 14:09:46,53.387s,PASSED
"callTestCase(findTestCase(""Test Cases/Test Scenario_1/IO_menunggu pengesyoran_1""), null)",Chrome 138.0.0.0,,,2025-07-17 14:08:53,2025-07-17 14:09:37,44.471s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:09:37,2025-07-17 14:09:41,3.755s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:09:41,2025-07-17 14:09:41,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:09:41,2025-07-17 14:09:42,1.550s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:09:42,2025-07-17 14:09:43,0.063s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:09:43,2025-07-17 14:09:43,0.031s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:09:43,2025-07-17 14:09:43,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:09:43,2025-07-17 14:09:43,0.001s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:09:43,2025-07-17 14:09:43,0.803s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:09:43,2025-07-17 14:09:43,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:09:43,2025-07-17 14:09:44,0.700s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:09:44,2025-07-17 14:09:44,0.051s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:09:44,2025-07-17 14:09:44,0.026s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:09:44,2025-07-17 14:09:44,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:09:44,2025-07-17 14:09:44,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:09:44,2025-07-17 14:09:45,0.809s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:09:45,2025-07-17 14:09:45,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:09:45,2025-07-17 14:09:45,0.126s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:09:45,2025-07-17 14:09:45,0.091s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:09:45,2025-07-17 14:09:45,0.124s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:09:45,2025-07-17 14:09:45,0.131s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 14:09:45,2025-07-17 14:09:46,0.080s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 14:09:46,2025-07-17 14:09:46,0.183s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 14:09:46,2025-07-17 14:09:46,0.111s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 14:09:46,2025-07-17 14:09:46,0.021s,PASSED
