Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NKM End to End,Chrome 138.0.0.0,,,2025-07-17 14:15:59,2025-07-17 14:18:01,2m - 1.877s,PASSED
,,,,,,,
Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes,Chrome 138.0.0.0,,,2025-07-17 14:16:00,2025-07-17 14:17:01,1m - 1.691s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/IO_Menunggu Pengesyoran/IO_menunggu pengesyoran""), null)",Chrome 138.0.0.0,,,2025-07-17 14:16:00,2025-07-17 14:16:52,52.080s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:16:52,2025-07-17 14:16:56,3.907s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:16:56,2025-07-17 14:16:56,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:16:56,2025-07-17 14:16:58,1.711s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:16:58,2025-07-17 14:16:58,0.053s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:16:58,2025-07-17 14:16:58,0.031s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:16:58,2025-07-17 14:16:58,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:16:58,2025-07-17 14:16:58,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:16:58,2025-07-17 14:16:59,0.846s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:16:59,2025-07-17 14:16:59,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:16:59,2025-07-17 14:16:59,0.801s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:16:59,2025-07-17 14:16:59,0.052s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:16:59,2025-07-17 14:17:00,0.034s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:17:00,2025-07-17 14:17:00,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:17:00,2025-07-17 14:17:00,0.001s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:17:00,2025-07-17 14:17:00,0.214s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:17:00,2025-07-17 14:17:00,0.001s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:17:00,2025-07-17 14:17:01,0.808s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.082s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.142s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.133s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.075s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.201s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.113s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:17:01,0.012s,PASSED
,,,,,,,
Test Cases/Test Scenario_1/SAO_lulus_1,Chrome 138.0.0.0,,,2025-07-17 14:17:01,2025-07-17 14:18:01,59.820s,PASSED
"callTestCase(findTestCase(""Test Cases/Test Scenario_1/IO_menunggu pengesyoran_1""), null)",Chrome 138.0.0.0,,,2025-07-17 14:17:02,2025-07-17 14:17:52,50.369s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_SAO user""), null)",Chrome 138.0.0.0,,,2025-07-17 14:17:52,2025-07-17 14:17:56,3.923s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 14:17:56,2025-07-17 14:17:56,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 14:17:56,2025-07-17 14:17:58,1.723s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:17:58,2025-07-17 14:17:58,0.049s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:17:58,2025-07-17 14:17:58,0.029s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:17:58,2025-07-17 14:17:58,0.000s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 14:17:58,2025-07-17 14:17:58,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 14:17:58,2025-07-17 14:17:59,0.867s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:17:59,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Notis tuntutan""))",Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:17:59,0.712s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:17:59,0.053s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:17:59,0.031s,PASSED
targetTexts = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:17:59,0.000s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:17:59,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 14:17:59,2025-07-17 14:18:00,0.805s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 14:18:00,2025-07-17 14:18:00,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 14:18:00,2025-07-17 14:18:00,0.151s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus penakat""))",Chrome 138.0.0.0,,,2025-07-17 14:18:00,2025-07-17 14:18:00,0.085s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_semak bencana domestik""))",Chrome 138.0.0.0,,,2025-07-17 14:18:00,2025-07-17 14:18:01,0.145s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_Status kelulusan""))",Chrome 138.0.0.0,,,2025-07-17 14:18:01,2025-07-17 14:18:01,0.145s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Option_lulus""))",Chrome 138.0.0.0,,,2025-07-17 14:18:01,2025-07-17 14:18:01,0.076s,PASSED
"setText(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/text_catatan pelulus""), ""ABC TEST"")",Chrome 138.0.0.0,,,2025-07-17 14:18:01,2025-07-17 14:18:01,0.192s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 14:18:01,2025-07-17 14:18:01,0.119s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 14:18:01,2025-07-17 14:18:01,0.023s,PASSED
