Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BCO end to end,Chrome 138.0.0.0,,,2025-07-17 18:20:56,2025-07-17 18:24:53,3m - 57.262s,PASSED
,,,,,,,
Test Cases/NKM/BCO/BCO_syor lulus,Chrome 138.0.0.0,,,2025-07-17 18:23:02,2025-07-17 18:24:53,1m - 51.635s,PASSED
"callTestCase(findTestCase(""Test Cases/NKM/SAO_LULUS Pengesyoran/SAO_lulus kes""), null)",Chrome 138.0.0.0,,,2025-07-17 18:23:02,2025-07-17 18:24:37,1m - 35.048s,PASSED
"callTestCase(findTestCase(""Test Cases/Login page_BCO user""), null)",Chrome 138.0.0.0,,,2025-07-17 18:24:37,2025-07-17 18:24:43,5.936s,PASSED
"println(""No. Rujukan Notis: "" + rujukanNotis)",Chrome 138.0.0.0,,,2025-07-17 18:24:43,2025-07-17 18:24:43,0.005s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/workbasket/a_workbasket""))",Chrome 138.0.0.0,,,2025-07-17 18:24:43,2025-07-17 18:24:45,2.007s,PASSED
"click(findTestObject(""Object Repository/NKM/BCO/a_butiran faedah""))",Chrome 138.0.0.0,,,2025-07-17 18:24:45,2025-07-17 18:24:46,1.200s,PASSED
"table = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:46,0.160s,PASSED
"rows = table.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:46,0.069s,PASSED
targetText = rujukanNotis,Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:46,0.000s,PASSED
"targetTexts = targetText.replace(""NKM"", ""PKT"")",Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:46,0.002s,PASSED
"println(""Updated No. Rujukan Notis: "" + targetTexts)",Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:46,0.003s,PASSED
isFound = false,Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:46,0.000s,PASSED
for (org.openqa.selenium.WebElement row : rows),Chrome 138.0.0.0,,,2025-07-17 18:24:46,2025-07-17 18:24:48,1.580s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 18:24:48,2025-07-17 18:24:48,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/BCO/a_butiran faedah""))",Chrome 138.0.0.0,,,2025-07-17 18:24:48,2025-07-17 18:24:49,1.433s,PASSED
"table2 = findWebElement(findTestObject(""Object Repository/NKM/IO/workbasket/tbody_table""), 10)",Chrome 138.0.0.0,,,2025-07-17 18:24:49,2025-07-17 18:24:49,0.196s,PASSED
"rows1 = table2.findElements(By.tagName(""tr""))",Chrome 138.0.0.0,,,2025-07-17 18:24:49,2025-07-17 18:24:49,0.047s,PASSED
isFounds = false,Chrome 138.0.0.0,,,2025-07-17 18:24:49,2025-07-17 18:24:49,0.000s,PASSED
for (org.openqa.selenium.WebElement row1 : rows1),Chrome 138.0.0.0,,,2025-07-17 18:24:49,2025-07-17 18:24:51,1.638s,PASSED
if (!(isFound)),Chrome 138.0.0.0,,,2025-07-17 18:24:51,2025-07-17 18:24:51,0.000s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Select_sila pilih""))",Chrome 138.0.0.0,,,2025-07-17 18:24:51,2025-07-17 18:24:51,0.355s,PASSED
"click(findTestObject(""Object Repository/NKM/BCO/option_pengesyoran kes""))",Chrome 138.0.0.0,,,2025-07-17 18:24:51,2025-07-17 18:24:52,0.285s,PASSED
"click(findTestObject(""Object Repository/NKM/BCO/select_penyosoran""))",Chrome 138.0.0.0,,,2025-07-17 18:24:52,2025-07-17 18:24:52,0.376s,PASSED
"click(findTestObject(""Object Repository/NKM/BCO/option_pengeysoran kes""))",Chrome 138.0.0.0,,,2025-07-17 18:24:52,2025-07-17 18:24:52,0.395s,PASSED
"setText(findTestObject(""Object Repository/NKM/BCO/Textarea""), ""TEST ABC"")",Chrome 138.0.0.0,,,2025-07-17 18:24:52,2025-07-17 18:24:53,0.448s,PASSED
"click(findTestObject(""Object Repository/NKM/IO/Tugasan Saya/Button_hantar""))",Chrome 138.0.0.0,,,2025-07-17 18:24:53,2025-07-17 18:24:53,0.367s,PASSED
acceptAlert(),Chrome 138.0.0.0,,,2025-07-17 18:24:53,2025-07-17 18:24:53,0.039s,PASSED
